,SP_m,SP_sd,SP_t,accuracy,drift_m,drift_sd,drift_t,ndt,participant,rt,threshold,trial,index,beta
556,-0.1,0.1,0.4683520365688474,0,2,1.2,0.18079780897465536,0.3,1,0.41200000000000003,1.2,557,trial 557,-0.044166545720091537
557,-0.1,0.1,0.466800239558465,1,2,1.2,1.2829198267937685,0.3,1,0.39299999999999996,1.2,558,trial 558,-0.020753020686576033
558,-0.1,0.1,0.4119900286540433,0,2,1.2,1.199357233047377,0.3,1,1.392,1.2,559,trial 559,0.03522667118049802
559,-0.1,0.1,0.4597348961438269,1,2,1.2,1.3734268950261397,0.3,1,0.579,1.2,560,trial 560,-0.044680345086282366
560,-0.1,0.1,0.4787707228738988,1,2,1.2,0.3997749151039229,0.3,1,0.758,1.2,561,trial 561,-0.059322269716017596
561,-0.1,0.1,0.4648454012457478,1,2,1.2,3.8936238647891352,0.3,1,0.523,1.2,562,trial 562,-0.05726038983807617
562,-0.1,0.1,0.4429108713113939,1,2,1.2,1.4225279395194408,0.3,1,1.4,1.2,563,trial 563,-0.0632153375962358
563,-0.1,0.1,0.472864807572173,1,2,1.2,1.332636971023394,0.3,1,0.38299999999999995,1.2,564,trial 564,-0.04513248298483421
564,-0.1,0.1,0.4843251493552422,1,2,1.2,0.9390117944099589,0.3,1,1.4220000000000002,1.2,565,trial 565,-0.02932955318961921
565,-0.1,0.1,0.4581025599268062,1,2,1.2,1.81727351044871,0.3,1,0.5640000000000001,1.2,566,trial 566,-0.0457134605291572
566,-0.1,0.1,0.4834777313692644,1,2,1.2,0.8197391338056184,0.3,1,0.44,1.2,567,trial 567,-0.07599077354578493
567,-0.1,0.1,0.4180520678217451,1,2,1.2,1.8787750049650418,0.3,1,0.601,1.2,568,trial 568,-0.03694792089277786
568,-0.1,0.1,0.4586561742640899,1,2,1.2,3.022116316712116,0.3,1,0.473,1.2,569,trial 569,-0.05584739479550858
569,-0.1,0.1,0.4977721587393522,1,2,1.2,2.4386050103822674,0.3,1,0.556,1.2,570,trial 570,-0.05465769554311073
570,-0.1,0.1,0.46103306843726705,1,2,1.2,3.4831356607117767,0.3,1,0.371,1.2,571,trial 571,-0.03745535240826271
571,-0.1,0.1,0.42183352693759946,1,2,1.2,1.751895145163805,0.3,1,0.665,1.2,572,trial 572,-0.07568919986856718
572,-0.1,0.1,0.4671843352837034,1,2,1.2,2.708308772028984,0.3,1,0.7889999999999999,1.2,573,trial 573,-0.0713138797808501
573,-0.1,0.1,0.5328616715839041,1,2,1.2,3.5273180269663893,0.3,1,0.446,1.2,574,trial 574,-0.04067899272398626
574,-0.1,0.1,0.394453797218581,1,2,1.2,2.72387097163898,0.3,1,0.452,1.2,575,trial 575,-0.05826082335340165
575,-0.1,0.1,0.475457370861953,1,2,1.2,1.3057193361116295,0.3,1,0.6779999999999999,1.2,576,trial 576,-0.060095598014533236
576,-0.1,0.1,0.4532863421889347,1,2,1.2,1.8087905940576543,0.3,1,0.423,1.2,577,trial 577,-0.04549620831052385
577,-0.1,0.1,0.4831016475148098,0,2,1.2,-0.6334934668490146,0.3,1,0.455,1.2,578,trial 578,0.11376764903704237
578,-0.1,0.1,0.4764168632100573,1,2,1.2,0.4568894992195482,0.3,1,0.626,1.2,579,trial 579,-0.0391179607948693
579,-0.1,0.1,0.465839289776756,1,2,1.2,0.8124856829682301,0.3,1,0.6,1.2,580,trial 580,-0.021922783194767995
580,-0.1,0.1,0.4895852675337235,0,2,1.2,1.4559165032211108,0.3,1,0.8939999999999999,1.2,581,trial 581,0.024039064152883104
581,-0.1,0.1,0.4704960022708131,1,2,1.2,2.4018844107819297,0.3,1,0.5720000000000001,1.2,582,trial 582,-0.012052060606917015
582,-0.1,0.1,0.4421135752505263,1,2,1.2,2.935209419017017,0.3,1,0.687,1.2,583,trial 583,-0.03674298802670056
583,-0.1,0.1,0.4823514736467756,1,2,1.2,0.9240183220088976,0.3,1,1.139,1.2,584,trial 584,-0.08289793791788241
584,-0.1,0.1,0.4933617859725454,0,2,1.2,0.6527242522006513,0.3,1,0.385,1.2,585,trial 585,0.024573805449327208
585,-0.1,0.1,0.4479116832193977,1,2,1.2,2.780064602312174,0.3,1,0.42700000000000005,1.2,586,trial 586,-0.00498381503479492
586,-0.1,0.1,0.4436079961663943,1,2,1.2,2.244634606976226,0.3,1,0.402,1.2,587,trial 587,-0.06936147369247998
587,-0.1,0.1,0.4634564824519146,1,2,1.2,1.6581738114116775,0.3,1,0.5640000000000001,1.2,588,trial 588,-0.04730243894367281
588,-0.1,0.1,0.43364957744294375,1,2,1.2,2.2872910560265707,0.3,1,0.928,1.2,589,trial 589,-0.029630132407931185
589,-0.1,0.1,0.5220009436650463,1,2,1.2,4.619414214045936,0.3,1,0.365,1.2,590,trial 590,-0.06688942142129922
590,-0.1,0.1,0.4974029731670008,1,2,1.2,-0.5179878672508864,0.3,1,0.423,1.2,591,trial 591,-0.0744021341137115
591,-0.1,0.1,0.44132266821235977,0,2,1.2,-0.8044260840660065,0.3,1,0.998,1.2,592,trial 592,-0.04555239832325607
592,-0.1,0.1,0.4055446666736453,1,2,1.2,1.2539641082356314,0.3,1,0.7150000000000001,1.2,593,trial 593,0.021400392725675708
593,-0.1,0.1,0.4495452929732607,1,2,1.2,0.4703112121991604,0.3,1,0.424,1.2,594,trial 594,-0.021235478912521012
594,-0.1,0.1,0.4103794985162905,1,2,1.2,2.597841628662478,0.3,1,0.773,1.2,595,trial 595,-0.038282185465172515
595,-0.1,0.1,0.4735402740700908,1,2,1.2,2.6167187028834253,0.3,1,0.6509999999999999,1.2,596,trial 596,-0.02293637513506913
596,-0.1,0.1,0.4515045396950478,1,2,1.2,3.2686693216704024,0.3,1,0.40399999999999997,1.2,597,trial 597,-0.06605560661559831
597,-0.1,0.1,0.43238365703895865,1,2,1.2,3.902360159220928,0.3,1,0.5740000000000001,1.2,598,trial 598,-0.05150321680732467
598,-0.1,0.1,0.5242860412140953,1,2,1.2,3.2505354785820657,0.3,1,0.35700000000000004,1.2,599,trial 599,-0.027857113567694172
