,SP_m,SP_sd,SP_t,accuracy,drift_m,drift_sd,drift_t,ndt,participant,rt,threshold,trial,index,beta
0,-0.1,0.1,0.4744545011635203,1,2,1.2,1.971660149511038,0.3,1,0.525,1.2,1,trial 1,0.7422399263594452
1,-0.1,0.1,0.4215822088065482,1,2,1.2,2.4121960517113767,0.3,1,0.521,1.2,2,trial 2,0.5481360945279798
2,-0.1,0.1,0.4409538082427368,1,2,1.2,1.5522305302176895,0.3,1,0.6409999999999999,1.2,3,trial 3,0.7303368875983965
3,-0.1,0.1,0.43478739603450606,1,2,1.2,2.604858327205009,0.3,1,0.5529999999999999,1.2,4,trial 4,0.5574607193914305
4,-0.1,0.1,0.365565148746693,1,2,1.2,1.242913865479117,0.3,1,0.442,1.2,5,trial 5,0.5883176693118256
5,-0.1,0.1,0.4785408843407435,1,2,1.2,0.8950032900180227,0.3,1,0.542,1.2,6,trial 6,0.743641100627995
6,-0.1,0.1,0.4662411978300568,1,2,1.2,0.9818257944994342,0.3,1,1.065,1.2,7,trial 7,0.6535666629689638
7,-0.1,0.1,0.5324105384014926,1,2,1.2,2.115954728289944,0.3,1,0.436,1.2,8,trial 8,0.6721871654552529
8,-0.1,0.1,0.4225693732600693,1,2,1.2,2.8896080053514828,0.3,1,0.7020000000000001,1.2,9,trial 9,0.7620019206090407
9,-0.1,0.1,0.5135888939703717,1,2,1.2,3.4318624739456935,0.3,1,0.56,1.2,10,trial 10,0.776295816146471
10,-0.1,0.1,0.5026497702466804,1,2,1.2,2.6900808684645856,0.3,1,0.39,1.2,11,trial 11,0.6794016100536884
11,-0.1,0.1,0.4305340523858823,1,2,1.2,1.5290791175664245,0.3,1,0.44299999999999995,1.2,12,trial 12,0.573229288252183
12,-0.1,0.1,0.4040767559542228,1,2,1.2,1.1652018529988712,0.3,1,0.5469999999999999,1.2,13,trial 13,0.7888186714526229
13,-0.1,0.1,0.4536097239073032,1,2,1.2,2.8164291130930725,0.3,1,0.475,1.2,14,trial 14,0.5676347089938921
14,-0.1,0.1,0.4147800285619053,1,2,1.2,0.8674704775510924,0.3,1,1.0959999999999999,1.2,15,trial 15,0.543979403232214
15,-0.1,0.1,0.5027348568099743,1,2,1.2,1.91471971102092,0.3,1,0.51,1.2,16,trial 16,0.7878160895656374
16,-0.1,0.1,0.527396036999663,1,2,1.2,2.085796089045548,0.3,1,0.542,1.2,17,trial 17,0.7260927347667014
17,-0.1,0.1,0.5213742926978489,1,2,1.2,3.90826342111242,0.3,1,0.496,1.2,18,trial 18,0.7401907588026169
18,-0.1,0.1,0.4682362495874886,1,2,1.2,0.1694599731101487,0.3,1,0.622,1.2,19,trial 19,0.7982999097581969
19,-0.1,0.1,0.4931002172233453,0,2,1.2,0.7630736739704926,0.3,1,0.919,1.2,20,trial 20,2.4353299373351174
20,-0.1,0.1,0.3729575621612764,1,2,1.2,1.661099674375056,0.3,1,0.392,1.2,21,trial 21,1.0052394649672136
21,-0.1,0.1,0.4552810233297433,1,2,1.2,3.197733173796581,0.3,1,0.387,1.2,22,trial 22,0.7268362877555395
22,-0.1,0.1,0.4562187437957265,1,2,1.2,3.0722347664652188,0.3,1,0.607,1.2,23,trial 23,0.5553920253108079
23,-0.1,0.1,0.4843742154271682,1,2,1.2,0.5019419416531603,0.3,1,0.738,1.2,24,trial 24,0.6293025985527843
24,-0.1,0.1,0.4996481392860016,1,2,1.2,2.9573593422721967,0.3,1,0.436,1.2,25,trial 25,0.7973311571541097
25,-0.1,0.1,0.5055062009779385,0,2,1.2,0.2753812399085922,0.3,1,2.3040000000000003,1.2,26,trial 26,1.804497551437799
26,-0.1,0.1,0.4673418483691886,1,2,1.2,1.2982718452974211,0.3,1,0.414,1.2,27,trial 27,1.0140437431195908
27,-0.1,0.1,0.465365065400855,1,2,1.2,1.5931422346184445,0.3,1,0.47600000000000003,1.2,28,trial 28,0.8312698196168669
28,-0.1,0.1,0.4371110048205207,1,2,1.2,2.386794614878215,0.3,1,1.132,1.2,29,trial 29,0.5691648159489724
