,SP_m,SP_sd,SP_t,accuracy,drift_m,drift_sd,drift_t,ndt,participant,rt,threshold,trial,onset
323,-0.1,0.1,0.4575309594315914,1,2,1.2,2.6402031988586754,0.3,1,0.507,1.2,324,3240
324,-0.1,0.1,0.4653852202166906,1,2,1.2,2.0260866531154953,0.3,1,0.376,1.2,325,3250
325,-0.1,0.1,0.4102994720980432,0,2,1.2,2.2434930817089325,0.3,1,0.368,1.2,326,3260
326,-0.1,0.1,0.429576910094108,1,2,1.2,0.7540379704156741,0.3,1,0.753,1.2,327,3270
327,-0.1,0.1,0.43789155481561054,1,2,1.2,3.661214027165705,0.3,1,0.43700000000000006,1.2,328,3280
328,-0.1,0.1,0.4424506549061149,1,2,1.2,2.769208476521616,0.3,1,0.7490000000000001,1.2,329,3290
329,-0.1,0.1,0.4143900359868225,1,2,1.2,1.1417124846340831,0.3,1,0.51,1.2,330,3300
330,-0.1,0.1,0.44366852304083815,1,2,1.2,1.350316028838406,0.3,1,0.44,1.2,331,3310
331,-0.1,0.1,0.4545297612255909,1,2,1.2,2.4643499563898845,0.3,1,0.363,1.2,332,3320
332,-0.1,0.1,0.4957095045795694,1,2,1.2,2.258884889705942,0.3,1,0.518,1.2,333,3330
333,-0.1,0.1,0.4873968192692273,1,2,1.2,3.83863367424864,0.3,1,0.384,1.2,334,3340
334,-0.1,0.1,0.4687363748877892,1,2,1.2,1.9745990989813835,0.3,1,0.614,1.2,335,3350
335,-0.1,0.1,0.43095060903829135,1,2,1.2,2.705938471123906,0.3,1,0.449,1.2,336,3360
336,-0.1,0.1,0.5357135335004801,1,2,1.2,2.8718315339644223,0.3,1,0.376,1.2,337,3370
337,-0.1,0.1,0.4718666689848908,1,2,1.2,2.4442037684727422,0.3,1,0.389,1.2,338,3380
338,-0.1,0.1,0.4167612575480813,0,2,1.2,1.158881398277649,0.3,1,0.7969999999999999,1.2,339,3390
339,-0.1,0.1,0.3819115299777212,1,2,1.2,2.3609649368283416,0.3,1,0.607,1.2,340,3400
340,-0.1,0.1,0.4422787803066061,1,2,1.2,3.7954808126461135,0.3,1,0.5870000000000001,1.2,341,3410
341,-0.1,0.1,0.39450699561146907,1,2,1.2,2.225924865906024,0.3,1,0.7140000000000001,1.2,342,3420
342,-0.1,0.1,0.4476379434449544,0,2,1.2,0.4929582700100086,0.3,1,0.391,1.2,343,3430
343,-0.1,0.1,0.4662247415894189,1,2,1.2,2.182145068054317,0.3,1,0.467,1.2,344,3440
344,-0.1,0.1,0.4643167806789892,1,2,1.2,2.043075548076564,0.3,1,0.544,1.2,345,3450
345,-0.1,0.1,0.4505854730769964,1,2,1.2,0.8602711820803703,0.3,1,1.3170000000000002,1.2,346,3460
346,-0.1,0.1,0.4009301270969658,1,2,1.2,2.6754914532206624,0.3,1,0.447,1.2,347,3470
347,-0.1,0.1,0.499811499591928,1,2,1.2,2.9696926806735564,0.3,1,0.454,1.2,348,3480
348,-0.1,0.1,0.4817139781657042,1,2,1.2,2.4761083738263987,0.3,1,0.565,1.2,349,3490
349,-0.1,0.1,0.4096097589693206,1,2,1.2,1.1336942978638458,0.3,1,0.368,1.2,350,3500
350,-0.1,0.1,0.4832432648308013,1,2,1.2,2.773051546173343,0.3,1,0.72,1.2,351,3510
351,-0.1,0.1,0.4695321307914084,1,2,1.2,1.5478242723474374,0.3,1,0.598,1.2,352,3520
352,-0.1,0.1,0.4395862225196929,1,2,1.2,2.4960353775524124,0.3,1,0.353,1.2,353,3530
353,-0.1,0.1,0.4799967867126181,1,2,1.2,3.830987103443073,0.3,1,0.448,1.2,354,3540
354,-0.1,0.1,0.4251307464697035,1,2,1.2,3.3031087406508832,0.3,1,0.899,1.2,355,3550
355,-0.1,0.1,0.4461609241309805,1,2,1.2,2.8201191190155197,0.3,1,0.613,1.2,356,3560
356,-0.1,0.1,0.4825211956354149,1,2,1.2,2.061088223539854,0.3,1,0.386,1.2,357,3570
357,-0.1,0.1,0.40426786812280935,1,2,1.2,3.598249831425772,0.3,1,0.483,1.2,358,3580
358,-0.1,0.1,0.5291484064940766,1,2,1.2,2.217256395122297,0.3,1,0.373,1.2,359,3590
359,-0.1,0.1,0.5352032701606624,0,2,1.2,0.9755016149058016,0.3,1,0.7929999999999999,1.2,360,3600
360,-0.1,0.1,0.43918621402612745,0,2,1.2,1.956546066213744,0.3,1,0.6519999999999999,1.2,361,3610
361,-0.1,0.1,0.4349930852375927,1,2,1.2,3.1583072926802527,0.3,1,0.679,1.2,362,3620
362,-0.1,0.1,0.4792655306413494,1,2,1.2,1.006365422428209,0.3,1,0.495,1.2,363,3630
363,-0.1,0.1,0.4340427158147205,1,2,1.2,1.0736182702825692,0.3,1,0.736,1.2,364,3640
364,-0.1,0.1,0.5201725557167823,1,2,1.2,1.4175632657741892,0.3,1,0.39299999999999996,1.2,365,3650
365,-0.1,0.1,0.4511415850393521,1,2,1.2,3.3390274647693388,0.3,1,0.349,1.2,366,3660
366,-0.1,0.1,0.4451797263523747,1,2,1.2,0.5809475962159505,0.3,1,0.7030000000000001,1.2,367,3670
367,-0.1,0.1,0.5114548212456599,1,2,1.2,2.5176763502675152,0.3,1,0.38799999999999996,1.2,368,3680
