,SP_m,SP_sd,SP_t,accuracy,drift_m,drift_sd,drift_t,ndt,participant,rt,threshold,trial
0,-0.1,0.1,0.4744545011635203,1,2,1.2,1.971660149511038,0.3,1,0.525,1.2,1
1,-0.1,0.1,0.42158220880654823,1,2,1.2,2.4121960517113767,0.3,1,0.521,1.2,2
2,-0.1,0.1,0.4409538082427368,1,2,1.2,1.5522305302176895,0.3,1,0.641,1.2,3
3,-0.1,0.1,0.434787396034506,1,2,1.2,2.604858327205009,0.3,1,0.5529999999999999,1.2,4
4,-0.1,0.1,0.365565148746693,1,2,1.2,1.242913865479117,0.3,1,0.442,1.2,5
5,-0.1,0.1,0.4785408843407435,1,2,1.2,0.8950032900180227,0.3,1,0.542,1.2,6
6,-0.1,0.1,0.4662411978300568,1,2,1.2,0.9818257944994342,0.3,1,1.065,1.2,7
7,-0.1,0.1,0.5324105384014926,1,2,1.2,2.1159547282899434,0.3,1,0.436,1.2,8
8,-0.1,0.1,0.42256937326006927,1,2,1.2,2.8896080053514828,0.3,1,0.702,1.2,9
9,-0.1,0.1,0.5135888939703717,1,2,1.2,3.431862473945693,0.3,1,0.56,1.2,10
10,-0.1,0.1,0.5026497702466804,1,2,1.2,2.6900808684645856,0.3,1,0.39,1.2,11
11,-0.1,0.1,0.4305340523858823,1,2,1.2,1.5290791175664245,0.3,1,0.443,1.2,12
12,-0.1,0.1,0.40407675595422277,1,2,1.2,1.1652018529988712,0.3,1,0.5469999999999999,1.2,13
13,-0.1,0.1,0.45360972390730314,1,2,1.2,2.8164291130930725,0.3,1,0.475,1.2,14
14,-0.1,0.1,0.41478002856190527,1,2,1.2,0.8674704775510924,0.3,1,1.096,1.2,15
15,-0.1,0.1,0.5027348568099743,1,2,1.2,1.9147197110209198,0.3,1,0.51,1.2,16
16,-0.1,0.1,0.527396036999663,1,2,1.2,2.085796089045548,0.3,1,0.542,1.2,17
17,-0.1,0.1,0.5213742926978489,1,2,1.2,3.9082634211124203,0.3,1,0.496,1.2,18
18,-0.1,0.1,0.46823624958748855,1,2,1.2,0.1694599731101487,0.3,1,0.622,1.2,19
19,-0.1,0.1,0.4931002172233453,0,2,1.2,0.7630736739704926,0.3,1,0.919,1.2,20
20,-0.1,0.1,0.37295756216127635,1,2,1.2,1.6610996743750561,0.3,1,0.392,1.2,21
21,-0.1,0.1,0.4552810233297433,1,2,1.2,3.197733173796581,0.3,1,0.387,1.2,22
22,-0.1,0.1,0.45621874379572647,1,2,1.2,3.072234766465219,0.3,1,0.607,1.2,23
23,-0.1,0.1,0.48437421542716824,1,2,1.2,0.5019419416531603,0.3,1,0.738,1.2,24
24,-0.1,0.1,0.49964813928600155,1,2,1.2,2.9573593422721967,0.3,1,0.436,1.2,25
25,-0.1,0.1,0.5055062009779385,0,2,1.2,0.2753812399085922,0.3,1,2.304,1.2,26
26,-0.1,0.1,0.46734184836918863,1,2,1.2,1.2982718452974211,0.3,1,0.414,1.2,27
27,-0.1,0.1,0.46536506540085504,1,2,1.2,1.5931422346184443,0.3,1,0.476,1.2,28
28,-0.1,0.1,0.4371110048205207,1,2,1.2,2.386794614878215,0.3,1,1.1320000000000001,1.2,29
29,-0.1,0.1,0.4483180835802033,0,2,1.2,0.13292480462922374,0.3,1,0.5509999999999999,1.2,30
30,-0.1,0.1,0.4484844841454201,1,2,1.2,2.1286548965285252,0.3,1,0.603,1.2,31
31,-0.1,0.1,0.4592483035921025,1,2,1.2,2.4138593401838984,0.3,1,0.893,1.2,32
32,-0.1,0.1,0.40288985429970936,1,2,1.2,0.22248707691049496,0.3,1,0.739,1.2,33
33,-0.1,0.1,0.40931561451808746,1,2,1.2,3.0479167479819513,0.3,1,0.75,1.2,34
34,-0.1,0.1,0.46913997429794807,0,2,1.2,1.0889347577698154,0.3,1,0.369,1.2,35
35,-0.1,0.1,0.4194279728671546,1,2,1.2,3.8063446179879863,0.3,1,0.853,1.2,36
36,-0.1,0.1,0.4567617539327067,1,2,1.2,3.6319260880609976,0.3,1,0.402,1.2,37
37,-0.1,0.1,0.43367097725485054,1,2,1.2,2.728205042667974,0.3,1,0.488,1.2,38
38,-0.1,0.1,0.4513557004296438,1,2,1.2,3.0532793598396175,0.3,1,0.44,1.2,39
39,-0.1,0.1,0.47552957081481995,1,2,1.2,1.1326283289355628,0.3,1,0.381,1.2,40
40,-0.1,0.1,0.47385329584879426,1,2,1.2,2.090502106963804,0.3,1,0.484,1.2,41
